,Order Id,Order Date,Ship Date,Ship Mode,Product Id,Customer Id,Sales,Quantity,Discount,Profit
0,CA-2016-152156,11/8/2016,11/11/2016,Second Class,FUR-BO-10001798,CG-12520,$261.96,2,0.0,41.9136
1,CA-2016-152156,11/8/2016,11/11/2016,Second Class,FUR-CH-10000454,CG-12520,$731.94,3,0.0,219.582
2,CA-2016-138688,6/12/2016,6/16/2016,Second Class,OFF-LA-10000240,DV-13045,$14.62,2,0.0,6.8714
3,US-2015-108966,10/11/2015,10/18/2015,Standard Class,FUR-TA-10000577,SO-20335,$957.5775,5,0.45,-383.031
4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,OFF-ST-10000760,SO-20335,$22.368000000000002,2,0.2,2.5164
5,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,FUR-FU-10001487,BH-11710,$48.86,7,0.0,14.1694
6,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,OFF-AR-10002833,BH-11710,$7.28,4,0.0,1.9656
7,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,TEC-PH-10002275,BH-11710,$907.1519999999999,6,0.2,90.7152
8,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,OFF-BI-10003910,BH-11710,$18.504,3,0.2,5.7825
9,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,OFF-AP-10002892,BH-11710,$114.9,5,0.0,34.47
10,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,FUR-TA-10001539,BH-11710,$1706.184,9,0.2,85.3092
11,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,TEC-PH-10002033,BH-11710,$911.424,4,0.2,68.3568
12,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,OFF-PA-10002365,AA-10480,$15.552,3,0.2,5.4432
13,CA-2016-161389,12/5/2016,12/10/2016,Standard Class,OFF-BI-10003656,IM-15070,$407.976,3,0.2,132.5922
14,US-2015-118983,11/22/2015,11/26/2015,Standard Class,OFF-AP-10002311,HP-14815,$68.81,5,0.8,-123.85799999999999
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,OFF-BI-10000756,HP-14815,$2.544,3,0.8,-3.8160000000000003
16,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,OFF-ST-10004186,PK-19075,$665.88,6,0.0,13.3176
17,CA-2014-167164,5/13/2014,5/15/2014,Second Class,OFF-ST-10000107,AG-10270,$55.5,2,0.0,9.99
18,CA-2014-143336,8/27/2014,9/1/2014,Second Class,OFF-AR-10003056,ZD-21925,$8.56,2,0.0,2.4824
19,CA-2014-143336,8/27/2014,9/1/2014,Second Class,TEC-PH-10001949,ZD-21925,$213.48,3,0.2,16.011
20,CA-2014-143336,8/27/2014,9/1/2014,Second Class,OFF-BI-10002215,ZD-21925,$22.72,4,0.2,7.3839999999999995
21,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,OFF-AR-10000246,KB-16585,$19.46,7,0.0,5.0596
22,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,OFF-AP-10001492,KB-16585,$60.34,7,0.0,15.6884
23,US-2017-156909,7/16/2017,7/18/2017,Second Class,FUR-CH-10002774,SF-20065,$71.372,2,0.3,-1.0196
24,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,FUR-TA-10000577,EB-13870,$1044.63,3,0.0,240.2649
25,CA-2016-121755,1/16/2016,1/20/2016,Second Class,OFF-BI-10001634,EH-13945,$11.648,2,0.2,4.2224
26,CA-2016-121755,1/16/2016,1/20/2016,Second Class,TEC-AC-10003027,EH-13945,$90.57,3,0.0,11.7741
27,US-2015-150630,9/17/2015,9/21/2015,Standard Class,FUR-BO-10004834,TB-21520,$3083.43,7,0.5,-1665.0522
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,OFF-BI-10000474,TB-21520,$9.618,2,0.7,-7.0532
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,FUR-FU-10004848,TB-21520,$124.2,3,0.2,15.525
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,OFF-EN-10001509,TB-21520,$3.264,2,0.2,1.1016
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,OFF-AR-10004042,TB-21520,$86.304,6,0.2,9.7092
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,OFF-BI-10001525,TB-21520,$6.858,6,0.7,-5.715
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,OFF-AR-10001683,TB-21520,$15.76,2,0.2,3.5460000000000003
34,CA-2017-107727,10/19/2017,10/23/2017,Second Class,OFF-PA-10000249,MA-17560,$29.471999999999998,3,0.2,9.9468
35,CA-2016-117590,12/8/2016,12/10/2016,First Class,TEC-PH-10004977,GH-14485,$1097.5439999999999,7,0.2,123.4737
36,CA-2016-117590,12/8/2016,12/10/2016,First Class,FUR-FU-10003664,GH-14485,$190.92,5,0.6,-147.963
37,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,OFF-EN-10002986,SN-20710,$113.32799999999999,9,0.2,35.415
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,FUR-BO-10002545,SN-20710,$532.3992,3,0.32,-46.9764
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,FUR-CH-10004218,SN-20710,$212.058,3,0.3,-15.147
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,TEC-PH-10000486,SN-20710,$371.168,4,0.2,41.7564
41,CA-2017-120999,9/10/2017,9/15/2017,Standard Class,TEC-PH-10004093,LC-16930,$147.168,4,0.2,16.5564
42,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,OFF-ST-10003479,RA-19885,$77.88,2,0.0,3.8939999999999997
43,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,OFF-ST-10003282,ES-14080,$95.616,2,0.2,9.5616
44,CA-2016-118255,3/11/2016,3/13/2016,First Class,TEC-AC-10000171,ON-18715,$45.98,2,0.0,19.7714
45,CA-2016-118255,3/11/2016,3/13/2016,First Class,OFF-BI-10003291,ON-18715,$17.46,2,0.0,8.2062
46,CA-2014-146703,10/20/2014,10/25/2014,Second Class,OFF-ST-10001713,PO-18865,$211.96,4,0.0,8.4784
47,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,TEC-AC-10002167,LH-16900,$45.0,3,0.0,4.95
48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,TEC-PH-10003988,LH-16900,$21.8,2,0.0,6.104
49,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,OFF-BI-10004410,DP-13000,$38.22,6,0.0,17.9634
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,OFF-LA-10002762,DP-13000,$75.18,6,0.0,35.3346
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,FUR-FU-10001706,DP-13000,$6.16,2,0.0,2.9568
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,FUR-CH-10003061,DP-13000,$89.99,1,0.0,17.0981
53,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,OFF-FA-10000304,JM-15265,$15.26,7,0.0,6.2566
54,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,TEC-PH-10002447,JM-15265,$1029.95,5,0.0,298.6855
55,CA-2016-111682,6/17/2016,6/18/2016,First Class,OFF-ST-10000604,TB-21055,$208.56,6,0.0,52.14
56,CA-2016-111682,6/17/2016,6/18/2016,First Class,OFF-PA-10001569,TB-21055,$32.4,5,0.0,15.552
57,CA-2016-111682,6/17/2016,6/18/2016,First Class,FUR-CH-10003968,TB-21055,$319.41,5,0.1,7.098
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,OFF-PA-10000587,TB-21055,$14.56,2,0.0,6.9888
59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TEC-AC-10002167,TB-21055,$30.0,2,0.0,3.3
60,CA-2016-111682,6/17/2016,6/18/2016,First Class,OFF-BI-10001460,TB-21055,$48.48,4,0.2,16.362000000000002
61,CA-2016-111682,6/17/2016,6/18/2016,First Class,OFF-AR-10001868,TB-21055,$1.68,1,0.0,0.84
62,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,TEC-AC-10004633,KM-16720,$13.98,2,0.0,6.1512
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,OFF-BI-10001078,KM-16720,$25.824,6,0.2,9.3612
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,OFF-PA-10003892,KM-16720,$146.73,3,0.0,68.9631
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,FUR-FU-10000397,KM-16720,$79.76,4,0.0,22.3328
66,US-2015-164175,4/30/2015,5/5/2015,Standard Class,FUR-CH-10001146,PS-18970,$213.115,5,0.3,-15.2225
67,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,OFF-AR-10002671,BS-11590,$1113.024,8,0.2,111.3024
68,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,TEC-PH-10002726,BS-11590,$167.968,4,0.2,62.988
69,CA-2016-119823,6/4/2016,6/6/2016,First Class,OFF-PA-10000482,KD-16270,$75.88,2,0.0,35.6636
70,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,OFF-BI-10004654,HM-14980,$4.6160000000000005,1,0.2,1.7309999999999999
71,CA-2017-114440,9/14/2017,9/17/2017,Second Class,OFF-PA-10004675,TB-21520,$19.05,3,0.0,8.763
72,US-2015-134026,4/26/2015,5/2/2015,Standard Class,FUR-CH-10000513,JE-15745,$831.936,8,0.2,-114.3912
73,US-2015-134026,4/26/2015,5/2/2015,Standard Class,FUR-FU-10003708,JE-15745,$97.04,2,0.2,1.213
74,US-2015-134026,4/26/2015,5/2/2015,Standard Class,OFF-ST-10004123,JE-15745,$72.78399999999999,1,0.2,-18.195999999999998
75,US-2017-118038,12/9/2017,12/11/2017,First Class,OFF-BI-10004182,KB-16600,$1.248,3,0.8,-1.9344
76,US-2017-118038,12/9/2017,12/11/2017,First Class,FUR-FU-10000260,KB-16600,$9.708,3,0.6,-5.8248
77,US-2017-118038,12/9/2017,12/11/2017,First Class,OFF-ST-10000615,KB-16600,$27.24,3,0.2,2.7239999999999998
78,US-2014-147606,11/26/2014,12/1/2014,Second Class,FUR-FU-10003194,JE-15745,$19.3,5,0.6,-14.475
79,CA-2016-127208,6/12/2016,6/15/2016,First Class,OFF-AP-10002118,SC-20770,$208.16,1,0.0,56.2032
80,CA-2016-127208,6/12/2016,6/15/2016,First Class,OFF-BI-10002309,SC-20770,$16.74,3,0.0,8.0352
81,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,OFF-AR-10002053,DN-13690,$14.9,5,0.0,4.172
82,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,OFF-ST-10002370,DN-13690,$21.39,1,0.0,6.2031
83,CA-2015-149734,9/3/2015,9/8/2015,Standard Class,OFF-EN-10000927,JC-16105,$200.984,7,0.2,62.8075
84,US-2017-119662,11/13/2017,11/16/2017,First Class,OFF-ST-10003656,CS-12400,$230.37599999999998,3,0.2,-48.9549
85,CA-2017-140088,5/28/2017,5/30/2017,Second Class,FUR-CH-10000863,PO-18865,$301.96,2,0.0,33.2156
86,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,TEC-AC-10001998,PG-18895,$19.99,1,0.0,6.7966
87,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,OFF-LA-10000134,PG-18895,$6.16,2,0.0,2.9568
88,CA-2016-159695,4/5/2016,4/10/2016,Second Class,OFF-ST-10003442,GM-14455,$158.368,7,0.2,13.8572
89,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,OFF-AR-10004930,JS-15685,$20.1,3,0.0,6.632999999999999
90,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,TEC-PH-10004093,JS-15685,$73.584,2,0.2,8.2782
91,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,OFF-PA-10000304,JS-15685,$6.48,1,0.0,3.1104
92,CA-2015-149587,1/31/2015,2/5/2015,Second Class,OFF-PA-10003177,KB-16315,$12.96,2,0.0,6.2208
93,CA-2015-149587,1/31/2015,2/5/2015,Second Class,FUR-FU-10003799,KB-16315,$53.34,3,0.0,16.5354
94,CA-2015-149587,1/31/2015,2/5/2015,Second Class,OFF-BI-10002852,KB-16315,$32.96,2,0.0,16.1504
95,US-2017-109484,11/6/2017,11/12/2017,Standard Class,OFF-BI-10004738,RB-19705,$5.682,1,0.7,-3.7880000000000003
96,CA-2017-161018,11/9/2017,11/11/2017,Second Class,FUR-FU-10000629,PN-18775,$96.53,7,0.0,40.5426
97,CA-2017-157833,6/17/2017,6/20/2017,First Class,OFF-BI-10001721,KD-16345,$51.312,3,0.2,17.9592
98,CA-2016-149223,9/6/2016,9/11/2016,Standard Class,OFF-AP-10000358,ER-13855,$77.88,6,0.0,22.5852
99,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,OFF-PA-10003256,RB-19465,$64.624,7,0.2,22.6184
100,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,TEC-AC-10001767,RB-19465,$95.976,3,0.2,-10.7973
101,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,OFF-BI-10002609,RB-19465,$1.788,3,0.8,-3.0396
102,CA-2016-129903,12/1/2016,12/4/2016,Second Class,OFF-PA-10004040,GZ-14470,$23.92,4,0.0,11.7208
103,US-2015-156867,11/13/2015,11/17/2015,Standard Class,TEC-AC-10001552,LC-16870,$238.896,6,0.2,-26.8758
104,US-2015-156867,11/13/2015,11/17/2015,Standard Class,FUR-FU-10004006,LC-16870,$102.36,3,0.2,-3.8385
105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,OFF-BI-10002794,LC-16870,$36.882,3,0.7,-25.8174
106,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,TEC-AC-10003499,JM-15250,$74.112,8,0.2,17.6016
107,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,TEC-PH-10002844,JM-15250,$27.991999999999997,1,0.2,2.0994
108,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,OFF-AR-10000390,JM-15250,$3.304,1,0.2,1.0738
109,CA-2015-129476,10/15/2015,10/20/2015,Standard Class,TEC-AC-10000844,PA-19060,$339.96,5,0.2,67.992
110,CA-2017-146780,12/25/2017,12/30/2017,Standard Class,FUR-FU-10001934,CV-12805,$41.96,2,0.0,10.9096
111,CA-2016-128867,11/3/2016,11/10/2016,Standard Class,OFF-AR-10000380,CL-12565,$75.96,2,0.0,22.788
112,CA-2016-128867,11/3/2016,11/10/2016,Standard Class,OFF-BI-10003981,CL-12565,$27.24,6,0.0,13.3476
113,CA-2014-115259,8/25/2014,8/27/2014,Second Class,OFF-FA-10000621,RC-19960,$40.096,14,0.2,14.5348
114,CA-2014-115259,8/25/2014,8/27/2014,Second Class,OFF-EN-10002600,RC-19960,$4.72,2,0.2,1.652
115,CA-2014-115259,8/25/2014,8/27/2014,Second Class,OFF-PA-10004965,RC-19960,$23.976,3,0.2,7.4925
116,CA-2014-115259,8/25/2014,8/27/2014,Second Class,OFF-EN-10002504,RC-19960,$130.464,6,0.2,44.0316
117,CA-2015-110457,3/2/2015,3/6/2015,Standard Class,FUR-TA-10001768,DK-13090,$787.53,3,0.0,165.3813
118,US-2015-136476,4/5/2015,4/10/2015,Standard Class,OFF-BI-10003650,GG-14650,$157.79399999999998,1,0.7,-115.7156
119,CA-2016-103730,6/12/2016,6/15/2016,First Class,FUR-FU-10002157,SC-20725,$47.04,3,0.0,18.3456
