,Product Id,Product Name,Category,Sub-Category
0,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases
1,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs
2,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels
3,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
4,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage
5,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings
6,OFF-AR-10002833,Newell 322,Office Supplies,Art
7,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones
8,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders
9,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances
10,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables
11,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones
12,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper
13,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders
14,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
15,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders
16,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage
17,OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage
18,OFF-AR-10003056,Newell 341,Office Supplies,Art
19,TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones
20,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders
21,OFF-AR-10000246,Newell 318,Office Supplies,Art
22,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances
23,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs
24,OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders
25,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories
26,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases
27,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders
28,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings
29,OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes
30,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art
31,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders
32,OFF-AR-10001683,Lumber Crayons,Office Supplies,Art
33,OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper
34,TEC-PH-10004977,GE 30524EE4,Technology,Phones
35,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings
36,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes
37,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases
38,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs
39,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones
40,TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones
41,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage
42,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage
43,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories
44,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders
